Year,Country,Athlete,Sport,Event,Medal
1980,Canada,Athlete_249,Fencing,Fencing Event 2,Silver
1980,China,Athlete_445,Fencing,Fencing Event 7,Gold
1980,France,Athlete_267,Cycling,Cycling Event 4,Silver
1980,Australia,Athlete_67,Boxing,Boxing Event 4,Bronze
1980,Japan,Athlete_475,Fencing,Fencing Event 9,Gold
1980,France,Athlete_284,Athletics,Athletics Event 10,Silver
1980,Canada,Athlete_40,Fencing,Fencing Event 4,Gold
1980,UK,Athlete_296,Athletics,Athletics Event 1,Silver
1980,Italy,Athlete_9,Swimming,Swimming Event 2,Silver
1980,UK,Athlete_64,Swimming,Swimming Event 5,Gold
1980,UK,Athlete_21,Fencing,Fencing Event 9,Bronze
1980,Japan,Athlete_499,Judo,Judo Event 3,Bronze
1980,Germany,Athlete_269,Shooting,Shooting Event 1,Silver
1980,Canada,Athlete_290,Athletics,Athletics Event 3,Bronze
1980,China,Athlete_192,Cycling,Cycling Event 10,Silver
1980,Russia,Athlete_102,Cycling,Cycling Event 9,Bronze
1980,France,Athlete_344,Cycling,Cycling Event 10,Silver
1980,Australia,Athlete_190,Boxing,Boxing Event 2,Bronze
1980,Japan,Athlete_143,Swimming,Swimming Event 4,Bronze
1980,Canada,Athlete_217,Boxing,Boxing Event 8,Gold
1980,USA,Athlete_409,Boxing,Boxing Event 2,Silver
1980,Japan,Athlete_373,Wrestling,Wrestling Event 4,Bronze
1980,France,Athlete_373,Rowing,Rowing Event 2,Gold
1980,France,Athlete_420,Gymnastics,Gymnastics Event 10,Gold
1980,China,Athlete_316,Athletics,Athletics Event 1,Bronze
1980,France,Athlete_145,Shooting,Shooting Event 3,Bronze
1980,UK,Athlete_378,Judo,Judo Event 2,Bronze
1980,UK,Athlete_30,Swimming,Swimming Event 3,Silver
1980,Italy,Athlete_322,Athletics,Athletics Event 9,Gold
1980,UK,Athlete_385,Rowing,Rowing Event 5,Gold
1980,China,Athlete_240,Wrestling,Wrestling Event 8,Gold
1980,USA,Athlete_167,Gymnastics,Gymnastics Event 9,Silver
1980,Australia,Athlete_16,Boxing,Boxing Event 7,Silver
1980,Japan,Athlete_281,Judo,Judo Event 2,Gold
1980,USA,Athlete_204,Fencing,Fencing Event 6,Bronze
1980,Australia,Athlete_233,Boxing,Boxing Event 6,Silver
1980,USA,Athlete_497,Gymnastics,Gymnastics Event 5,Gold
1980,USA,Athlete_494,Wrestling,Wrestling Event 3,Gold
1980,Japan,Athlete_72,Athletics,Athletics Event 1,Silver
1980,Japan,Athlete_381,Fencing,Fencing Event 3,Gold
1980,China,Athlete_333,Shooting,Shooting Event 1,Silver
1980,Germany,Athlete_137,Gymnastics,Gymnastics Event 3,Silver
1980,Italy,Athlete_220,Shooting,Shooting Event 10,Silver
1980,UK,Athlete_233,Athletics,Athletics Event 4,Gold
1980,Russia,Athlete_100,Athletics,Athletics Event 4,Bronze
1980,China,Athlete_87,Swimming,Swimming Event 4,Gold
1980,Russia,Athlete_387,Wrestling,Wrestling Event 5,Bronze
1980,Russia,Athlete_436,Wrestling,Wrestling Event 2,Silver
1980,China,Athlete_284,Shooting,Shooting Event 10,Bronze
1980,Italy,Athlete_260,Gymnastics,Gymnastics Event 7,Gold
